,Entry_Date,Exit_Date,Days_in_Trade,Entry_Price,Exit_Price,Target_Price,Stop_Loss,Shares,PnL,PnL_Pct,Exit_Reason,Risk_Amount
25,2023-11-09 05:30:00+05:30,2023-11-20 05:30:00+05:30,11,578.35,566.8,663.85,549.85,70,-808.5000000000048,-1.9970606034408347,Days exceded,2000.0
26,2024-01-31 05:30:00+05:30,2024-02-12 05:30:00+05:30,12,640.5,726.0,736.5,608.5,62,5301.0,13.348946135831383,Days exceded,2000.0
27,2024-02-01 05:30:00+05:30,2024-02-12 05:30:00+05:30,11,647.65,726.0,743.65,615.65,62,4857.700000000002,12.09758357137343,Days exceded,2000.0
28,2024-02-02 05:30:00+05:30,2024-02-13 05:30:00+05:30,11,649.65,718.0,745.65,617.65,62,4237.700000000002,10.521049796044027,Days exceded,2000.0
29,2024-03-28 05:30:00+05:30,2024-04-08 05:30:00+05:30,11,752.35,770.0,864.85,714.85,53,935.4499999999988,2.345982587891271,Days exceded,2000.0
30,2024-04-04 05:30:00+05:30,2024-04-15 05:30:00+05:30,11,759.3,763.3,871.8,721.8,53,212.0,0.5268010009219017,Days exceded,2000.0
31,2024-04-26 05:30:00+05:30,2024-05-07 05:30:00+05:30,11,801.3,814.65,921.3,761.3,50,667.5000000000011,1.6660426806439563,Days exceded,2000.0
32,2024-06-11 05:30:00+05:30,2024-06-24 05:30:00+05:30,13,835.55,836.0,960.05,794.05,48,21.600000000002183,0.05385674106876255,Days exceded,2000.0
33,2024-06-12 05:30:00+05:30,2024-06-24 05:30:00+05:30,12,839.1,836.0,963.6,797.6,48,-148.8000000000011,-0.3694434513168898,Days exceded,2000.0
34,2024-11-06 05:30:00+05:30,2024-11-13 05:30:00+05:30,7,854.8,812.3,982.3,812.3,47,-1997.5,-4.971923256902199,StopLoss,2000.0
35,2025-03-25 05:30:00+05:30,2025-04-07 05:30:00+05:30,13,772.85,734.35,888.35,734.35,51,-1963.5,-4.981561751957042,StopLoss,2000.0
36,2025-05-16 05:30:00+05:30,2025-05-27 05:30:00+05:30,11,792.1,801.35,910.6,752.6,50,462.5,1.1677818457265496,Days exceded,2000.0
37,2025-06-26 05:30:00+05:30,2025-07-07 05:30:00+05:30,11,797.05,812.65,915.55,757.55,50,780.0000000000011,1.9572172385672195,Days exceded,2000.0
