ticker,entry_date,entry_price,stop_loss,target,shares,position_value,entry_cost,risk,consecutive_reds,status,exit_price,exit_date,exit_cost,pnl,pnl_percent,return_on_capital
NSE:WIPRO-EQ,2022-08-31 00:00:00+05:30,213.3131,201.03,237.8793,937.5889244,200000,60,12.2831,3,Loss,200.82897,2022-09-30 00:00:00+05:30,56.48850539,-11821.47052,-5.910735262,-1.182147052
NSE:BHARTIARTL-EQ,2022-09-30 00:00:00+05:30,727.2265,628.75,924.1795,275.0174808,200000,60,98.4765,4,Win,923.2553205,2023-09-30 00:00:00+05:30,76.17340571,53775.17897,26.88758949,5.377517897
NSE:RELIANCE-EQ,2022-09-30 00:00:00+05:30,1292.62133,1182.5,1512.86399,154.7243538,200000,60,110.12133,3,Loss,1181.3175,2022-10-31 00:00:00+05:30,54.83357605,-17336.24675,-8.668123374,-1.733624675
NSE:HCLTECH-EQ,2022-10-31 00:00:00+05:30,933.28235,877.35,1045.14705,214.2974203,200000,60,55.93235,5,Win,1044.101903,2022-11-30 00:00:00+05:30,67.12450329,23621.21981,11.81060991,2.362121981
NSE:BPCL-EQ,2022-12-31 00:00:00+05:30,171.171,144.03,225.453,1168.422221,200000,60,27.141,3,Win,225.227547,2023-12-31 00:00:00+05:30,78.94826121,63021.92245,31.51096122,6.302192245
NSE:TATACONSUM-EQ,2022-12-31 00:00:00+05:30,812.62181,729.73,978.40543,246.1169483,200000,60,82.89181,3,Loss,729.00027,2023-01-31 00:00:00+05:30,53.82579653,-20694.50403,-10.34725202,-2.069450403
NSE:WIPRO-EQ,2022-12-31 00:00:00+05:30,206.63643,186.2,247.50929,967.8835431,200000,60,20.43643,3,Loss,186.0138,2023-03-31 00:00:00+05:30,54.01190874,-20074.3161,-10.03715805,-2.00743161
NSE:BAJFINANCE-EQ,2023-03-31 00:00:00+05:30,610.62001,568,695.86003,327.5359417,200000,60,42.62001,4,Loss,567.432,2023-04-30 00:00:00+05:30,55.75631234,-14261.38184,-7.130690919,-1.426138184
NSE:ADANIENT-EQ,2023-04-30 00:00:00+05:30,1698.73704,986.4,3123.41112,117.7345259,200000,60,712.33704,3,Win,3120.287709,2024-02-29 00:00:00+05:30,110.2096782,167195.3843,83.59769217,16.71953843
NSE:ADANIPORTS-EQ,2023-04-30 00:00:00+05:30,639.18855,395.1,1127.36565,312.8967188,200000,60,244.08855,3,Win,1126.238284,2024-01-31 00:00:00+05:30,105.7188791,152230.5449,76.11527245,15.22305449
NSE:BHARTIARTL-EQ,2023-04-30 00:00:00+05:30,755.755,738.45,790.365,264.6360262,200000,60,17.305,3,Win,789.574635,2023-05-31 00:00:00+05:30,62.68496814,8827.208847,4.413604423,0.882720885
NSE:GRASIM-EQ,2023-04-30 00:00:00+05:30,1624.97335,1543.36,1788.20005,123.0789416,200000,60,81.61335,3,Win,1786.41185,2023-06-30 00:00:00+05:30,65.96090391,19743.7188,9.871859399,1.97437188
NSE:KOTAKBANK-EQ,2023-04-30 00:00:00+05:30,347.1468,336.77,367.9004,576.1251436,200000,60,10.3768,3,Win,367.5324996,2023-05-31 00:00:00+05:30,63.52341423,11621.1907,5.810595348,1.16211907
NSE:NESTLEIND-EQ,2023-04-30 00:00:00+05:30,990.1892,923.01,1124.5476,201.9816011,200000,60,67.1792,4,Win,1123.423052,2023-06-30 00:00:00+05:30,68.07323605,26782.71359,13.3913568,2.678271359
NSE:TITAN-EQ,2023-04-30 00:00:00+05:30,2528.4259,2269.6,3046.0777,79.10059773,200000,60,258.8259,4,Win,3043.031622,2023-06-30 00:00:00+05:30,72.21168607,40573.40854,20.28670427,4.057340854
NSE:BAJAJFINSV-EQ,2023-05-31 00:00:00+05:30,1361.36,1215,1654.08,146.9119116,200000,60,146.36,5,Win,1652.42592,2023-07-31 00:00:00+05:30,72.82831521,42628.2224,21.3141112,4.26282224
NSE:COALINDIA-EQ,2023-05-31 00:00:00+05:30,233.4332,207.6,285.0996,856.7761569,200000,60,25.8332,5,Win,284.8145004,2023-09-30 00:00:00+05:30,73.20668193,43889.06641,21.94453321,4.388906641
NSE:DIVISLAB-EQ,2023-05-31 00:00:00+05:30,3271.31805,2730,4353.95415,61.13743664,200000,60,541.31805,3,Win,4349.600196,2024-05-31 00:00:00+05:30,79.77702191,65783.62935,32.89181467,6.578362935
NSE:HDFCBANK-EQ,2023-05-31 00:00:00+05:30,845.19435,766.03,1003.52305,236.6319652,200000,60,79.16435,3,Loss,765.26397,2023-09-30 00:00:00+05:30,54.32577513,-19028.40867,-9.514204336,-1.902840867
NSE:INDUSINDBK-EQ,2023-05-31 00:00:00+05:30,1160.10895,990,1500.32685,172.3976011,200000,60,170.10895,3,Win,1498.826523,2023-11-30 00:00:00+05:30,77.51822912,58256.57883,29.12828942,5.825657883
NSE:RELIANCE-EQ,2023-05-31 00:00:00+05:30,1219.3181,1090,1477.9543,164.0261061,200000,60,129.3181,4,Win,1476.476346,2024-02-29 00:00:00+05:30,72.65419971,42048.01149,21.02400574,4.204801149
NSE:SBILIFE-EQ,2023-05-31 00:00:00+05:30,1148.147,1054,1336.441,174.1937226,200000,60,94.147,4,Win,1335.104559,2023-08-31 00:00:00+05:30,69.77004995,32437.06312,16.21853156,3.243706312
NSE:TATACONSUM-EQ,2023-05-31 00:00:00+05:30,759.27852,678.17,921.49556,263.4079521,200000,60,81.10852,4,Win,920.5740644,2023-11-30 00:00:00+05:30,72.74595871,42353.78308,21.17689154,4.235378308
NSE:CIPLA-EQ,2023-06-30 00:00:00+05:30,950.95,852,1148.85,210.3159998,200000,60,98.95,6,Win,1147.70115,2023-07-31 00:00:00+05:30,72.41397445,41247.50085,20.62375042,4.124750085
NSE:INFY-EQ,2023-06-30 00:00:00+05:30,1323.87255,1185.3,1601.01765,151.0719442,200000,60,138.57255,3,Win,1599.416632,2024-01-31 00:00:00+05:30,72.48809407,41494.49214,20.74724607,4.149449214
NSE:TCS-EQ,2023-06-30 00:00:00+05:30,3317.314,3070.25,3811.442,60.28974043,200000,60,247.064,3,Win,3807.630558,2023-12-31 00:00:00+05:30,68.8683174,29432.1897,14.71609485,2.94321897
NSE:EICHERMOT-EQ,2023-10-31 00:00:00+05:30,3430.3269,3160,3970.9807,58.30348122,200000,60,270.3269,3,Win,3967.009719,2023-12-31 00:00:00+05:30,69.387143,31161.08953,15.58054477,3.116108953
NSE:ULTRACEMCO-EQ,2023-11-30 00:00:00+05:30,8448.44,7987.65,9370.02,23.67300945,200000,60,460.79,3,Win,9360.64998,2023-12-31 00:00:00+05:30,66.47842664,21468.27705,10.73413853,2.146827705
NSE:ASIANPAINT-EQ,2023-12-31 00:00:00+05:30,3150.09695,2931,3588.29085,63.49010941,200000,60,219.09695,3,Loss,2928.069,2024-02-29 00:00:00+05:30,55.77102635,-14212.34986,-7.106174932,-1.421234986
NSE:DRREDDY-EQ,2023-12-31 00:00:00+05:30,1161.16,1041.11,1401.26,172.2415516,200000,60,120.05,3,Win,1399.85874,2024-08-31 00:00:00+05:30,72.3341524,40981.50718,20.49075359,4.098150718
NSE:HDFCBANK-EQ,2023-12-31 00:00:00+05:30,779.72895,730.13,878.92685,256.4993899,200000,60,49.59895,4,Loss,729.39987,2024-01-31 00:00:00+05:30,56.12718651,-13025.5055,-6.512752752,-1.30255055
NSE:HINDUNILVR-EQ,2023-12-31 00:00:00+05:30,2508.4059,2403.01,2719.1977,79.73191261,200000,60,105.3959,4,Loss,2400.60699,2024-01-31 00:00:00+05:30,57.42149602,-8712.434767,-4.356217384,-0.871243477
NSE:ICICIBANK-EQ,2023-12-31 00:00:00+05:30,936.88595,899,1012.65785,213.4731554,200000,60,37.88595,3,Win,1011.645192,2024-01-31 00:00:00+05:30,64.7877274,15834.30359,7.917151795,1.583430359
NSE:RELIANCE-EQ,2023-12-31 00:00:00+05:30,1190.189,1110.15,1350.267,168.0405381,200000,60,80.039,4,Win,1348.916733,2024-01-31 00:00:00+05:30,68.0018081,26544.69186,13.27234593,2.654469186
